Chair Silla
Button Boton
Tea Te
Country Pais
Bottle Botella
Water Agua
Bread Pan
Egg Huevo
Kitchen Cocina
Banana Platano
Lemon Limon 
Cheese Queso
Wine Vino
Beer Cerveza 
Cherry Cereza 
Rum Ron 
Spring Primavera
Summer Verano
Winter Invierno
Autumn Otoño 
Feel Sentimiento 
Advanced Avanzado 
High Alto
Infraestructure Infraestructura
Window Ventana
Car Coche
Elf Elfo
Microwave Microondas
Foundation Fundacion
Tree Arbol 
Pile Pila
List Lista
Table Table
Toy Juguete
Deodorant Desodorante
Gun Arma
Sword Espada
Blade Cuchilla
Curtain Cortina
Head Cabeza
Print Imprimir
Empty Vacio
Clean Limpio
Element Elemento
Constant Constante
Shirt Playera
Coat Abrigo
Sweatshirt Sudadera
Sweater Sueter
Oil Aceite
Chips Papas
Potatoe Papa
Wheel Llanta
Fridge Refrigerador
Lights Luces
Candy Dulce
Cake Pastel
All Todo
Another Otro
Strawberry Fresa
Good Bueno
Bad Malo
First Primero
Second Segundo
Hour Hora
Nothing Nada
Geometrical Geometrico
Matrix Matriz
Box Caja
April Abril
Sunday Domingo
Inverse Inverso
Interpretation Interpretacion
Method Metodo
Space Espacio
Column Columna
Theorem Teorema
Furthermore Ademas
Tough Duro
Thought Pensamiento
Through A-traves
Near Cerca
Row Fila
Stadium Estadio
Taxes Impuestos
Result Resultado
Relative Relativo
Phone Celular
Roof Techo
Floor Piso
Example Ejemplo
Two Dos
One Uno
Step Paso
December Diciembre
Door Puerta
Engine Motor
Law Ley
Green Verde
Red Rojo
